question_norm,count
thế nào là giám hộ?,2
trách nhiệm ghi nhãn phụ hàng hóa được quy định như thế nào?,2
nghị định 26/2023/nđ-cp được áp dụng từ ngày nào?,2
"trước khi tiến hành kiểm tra điều lệnh công an nhân dân, đơn vị được giao nhiệm vụ kiểm tra phải xây dựng một trong các kế hoạch nào?",2
nhiệm vụ của cục phòng vệ thương mại là gì?,2
điều kiện để giao quyền cấp trên cơ sở là gì?,2
cơ cấu tổ chức của ủy ban nhân dân tỉnh được quy định ra sao?,2
khi thiết kế đường giao thông nông thôn phải thỏa mãn các yêu cầu nào?,2
thí sinh được mang gì vào phòng thi tốt nghiệp thpt quốc gia 2023?,2
những đối tượng nào phải chịu thuế giá trị gia tăng?,2
giao dịch điện tử trong hoạt động tài chính là gì?,2
nhiệm vụ của hội môi trường giao thông vận tải việt nam được quy định thế nào?,2
phạm nhân là gì? thi hành án phạt tù được hiểu như thế nào?,2
nhiệm vụ và quyền hạn của chủ nhiệm ủy ban pháp luật của quốc hội quy định thế nào?,2
phán quyết trọng tài là gì?,2
thời hạn thanh toán phí bảo hiểm công trình xây dựng được quy định thế nào?,2
chi nhánh của tổ chức hòa giải thương mại nước ngoài tại việt nam có những quyền và nghĩa vụ gì?,2
ai có thể làm người bảo vệ quyền và lợi ích hợp pháp của đương sự trong tố tụng dân sự?,2
nguyên tắc trả lương được quy định như thế nào?,2
thành phần tham dự cuộc họp của cộng đồng dân cư gồm những ai?,2
tổng giám đốc tổng công ty hàng hải việt nam là ai?,2
người có tài sản trưng mua có quyền và nghĩa vụ như thế nào?,2
thời hạn kiểm tra sau thông quan là bao nhiêu năm kể từ ngày đăng ký tờ khai hải quan?,2
"dân quân tự vệ sẽ được hưởng những chính sách, chế độ gì khi đang làm nhiệm vụ?",2
công đoàn cơ sở được thành lập trong các đơn vị sử dụng lao động nào?,2
giáo viên chủ nhiệm trường giáo dưỡng có quyền hạn như thế nào?,2
khi nào nghị quyết 98/2023/qh15 được áp dụng?,2
chương trình học của học sinh các cấp năm học 2023-2024 như thế nào?,2
chủ tịch hội đồng tư vấn chính sách tiền tệ quốc gia có nhiệm vụ và quyền hạn như thế nào?,2
thủ tục hải quan là gì?,2
hồ sơ đề nghị cấp chứng chỉ kỹ năng nghề quốc gia gồm những thành phần nào?,2
hồ sơ đề nghị cấp hộ chiếu phổ thông ở trong nước bao gồm những gì? bao lâu sẽ nhận kết quả cấp hộ chiếu?,2
nhiệm vụ của báo pháp luật việt nam là gì?,2
"tổ chức, cá nhân khai thác và sử dụng thông tin, dữ liệu tài nguyên và môi trường có trách nhiệm và quyền hạn gì?",2
phó viện trưởng viện kiểm sát quân sự trung ương do ai bổ nhiệm?,2
hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở khi đánh giá hồ sơ nghiên cứu cần thẩm định những nội dung nào?,2
"chủ tịch công ty có quyền quyết định các hợp đồng cho vay, thuê tài sản có giá trị bao nhiêu phần trăm?",2
thời hạn sử dụng nhà chung cư là bao nhiêu năm?,2
khi nào áp dụng quy định mới tại nghị định 33/2023/nđ-cp?,2
trúng đấu giá biển số đẹp nhưng không nộp đủ tiền thì bị xử lý thế nào?,2
đối xử quốc gia trong thương mại hàng hóa là gì?,2
chánh văn phòng tổng cục quản lý đất đai có trách nhiệm gì khi giải quyết công việc?,2
thế nào là nhãn hiệu?,2
tiêu chuẩn bổ nhiệm vào ngạch thanh tra viên chính hiện nay ra sao?,2
nhiệm vụ và quyền hạn của ủy ban biên giới quốc gia là gì?,2
hồ sơ xin hưởng trợ cấp thất nghiệp bao gồm những loại giấy tờ nào?,2
nguyên giá tài sản cố định vô hình được xác định như thế nào?,2
phòng kế hoạch tổng hợp thuộc vụ tổng hợp kiểm toán nhà nước thực hiện chức năng gì?,2
mức thưởng cho danh hiệu chiến sĩ thi đua cơ sở là bao nhiêu?,2
nghị định 29/2023/nđ-cp chính thức có hiệu lực từ ngày mấy?,2
hệ thống tổ chức của công an nhân dân được pháp luật quy định như thế nào?,2
các đối tượng nào phải nộp thuế thu nhập cá nhân?,2
khi nào áp dụng nghị định 35/2023/nđ-cp sửa đổi quy định trong lĩnh vực xây dựng?,2
khoa đột quỵ của cơ sở khám chữa bệnh có những bộ phận chuyên môn nào?,2
công ty đại chúng là gì?,2
thu nhập tính thuế thu nhập doanh nghiệp được xác định như thế nào?,2
thời điểm tính hưởng bảo hiểm xã hội một lần là thời điểm nào?,2
không thu học phí có thời hạn trong trường hợp nào?,2
sinh viên đại học được xem xét chuyển từ đào tạo theo hình thức chính quy sang hình thức vừa làm vừa học khi nào?,2
thời hiệu khiếu nại quyết định kỷ luật buộc thôi việc đối với công chức là bao lâu?,2
thế nào là doanh nghiệp nhà nước?,2
người mẹ mang thai hộ có được quyền quyết định về số lượng bào thai hay không?,2
"mặt trận tổ quốc việt nam tập hợp, xây dựng khối đại đoàn kết toàn dân tộc theo phương thức nào?",2
bảo vệ dân phố được lập ra với nhiệm vụ chính là gì?,2
tội trốn tránh nghĩa vụ quân sự bị xử lý hình sự như thế nào?,2
hồ sơ xử phạt vi phạm hành chính bao gồm những gì?,2
môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng có phải là môn học bắt buộc không?,2
đối tượng nào được trang bị vũ khí quân dụng?,2
liên hiệp các hội văn học nghệ thuật việt nam hoạt động trên phạm vi nào?,2
đối tượng nào được áp dụng quy định về hợp đồng đối với một số công việc lao động cơ quan nhà nước?,2
hồ sơ cấp giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm gồm có những giấy tờ gì?,2
mức giảm trừ gia cảnh hiện nay là bao nhiêu?,2
mức bình quân tiền lương tháng đóng bhxh được quy định thế nào?,2
trình tự thực hiện cấp lại giấy phép flegt được pháp luật quy định như thế nào?,2
"trách nhiệm phổ biến hương ước, quy ước của cộng đồng dân cư là của ai?",2
có bao nhiêu loại chứng từ theo nghị định 123/2020/nđ-cp?,2
khám sức khỏe nghĩa vụ quân sự là gì?,2
tội phạm là gì?,2
những tài sản nào được xem là tài sản chung của vợ chồng trong thời kỳ hôn nhân?,2
"sau thời hạn đình chỉ hoạt động đào tạo phân hiệu của trường đại học, nếu nguyên nhân dẫn đến việc đình chỉ được khắc phục thì người có thẩm quyền quyết định đình chỉ cần làm gì?",2
kỳ kế toán năm là gì?,2
khi nào phải làm thủ tục gia hạn tạm trú?,2
tuổi nhập học đầu cấp theo quy định hiện nay là bao nhiêu?,2
điểm chuẩn đại học được xét và công bố như thế nào?,2
người lập di chúc có những quyền gì?,2
mức phạt tiền đối với hành vi điều khiển xe máy không mang theo giấy đăng ký xe là bao nhiêu?,2
thành viên giao dịch đặc biệt bị đình chỉ hoạt động trong trường hợp nào?,2
hủy tư cách công ty đại chúng cần những giấy tờ?,2
"thẩm quyền cấp, hủy bỏ giấy chứng nhận đủ điều kiện hoạt động thí nghiệm chuyên ngành xây dựng ra sao?",2
thức ăn chăn nuôi thương mại là gì?,2
cơ quan điều tra phải có văn bản đề nghị viện kiểm sát phê chuẩn quyết định thay đổi quyết định khởi tố bị can trong thời hạn bao lâu?,2
mức đóng bảo hiểm xã hội tự nguyện hiện nay được quy định như thế nào?,2
thời hạn giải quyết chế độ thai sản khi sinh con được pháp luật quy định như thế nào?,2
"những trường hợp nào được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất?",2
hiệu lực của di chúc được quy định như thế nào?,2
"lỗi của mỗi bên trong vi phạm quyền, nghĩa vụ của vợ chồng có ảnh hưởng đến việc chia tài sản khi ly hôn hay không?",2
cơ quan chủ trì soạn thảo văn bản quy phạm pháp luật có những trách nhiệm gì trong việc lồng ghép vấn đề bình đẳng giới vào văn bản?,2
hội đồng trường của trường đại học công lập làm việc theo nguyên tắc nào?,2
thẩm quyền quyết định áp dụng biện pháp khẩn cấp tạm thời thuộc về ai?,2
"người học ngành bảo trì hệ thống thiết bị cơ khí trình độ cao đẳng phải có khả năng học tập, nâng cao trình độ như thế nào?",2
nhà đầu tư chứng khoán chuyên nghiệp có thể tham gia đợt chào bán chứng khoán riêng lẻ của công ty đại chúng không?,2
kê biên tài sản là gì?,2
nếu không thuộc trường hợp được miễn giấy phép lao động thì chuẩn bị hồ sơ xin giấy phép lao động để dạy học gồm những gì?,2
cơ cấu tổ chức của đại học quốc gia bao gồm những thành phần nào?,2
kế hoạch hội thi giáo viên dạy giỏi trung cấp chuyên nghiệp được quy định như thế nào?,2
câu lạc bộ thể thao chuyên nghiệp là gì?,2
"quan điểm chỉ đạo của nhà nước về việc điều chỉnh, cải cách tiền lương ra sao?",2
quân nhân dự bị là ai?,2
đối với đường bot việc theo dõi và đánh giá kết quả xử lý điểm tiềm ẩn tai nạn giao thông đường bộ do ai thực hiện và báo cáo kết quả về cơ quan nào?,2
nguyên tắc nộp đơn đầu tiên đối với giống cây trồng ra sao?,2
công ty cổ phần có cấp giấy chứng nhận góp vốn không?,2
"nhiệm vụ, quyền hạn của hội đồng nhân dân đô thị loại 2 quy định như thế nào?",2
hộ chiếu bị mất trong khi còn thời hạn sử dụng thì có được đề nghị khôi phục giá trị?,2
nguyên tắc cho vay vốn và vay vốn đối với đồng bào dân tộc thiểu số và miền núi như thế nào?,2
bào chế thuốc cổ truyền phải đáp ứng những tiêu chuẩn gì?,2
thời gian thực hiện thủ tục chấm dứt hiệu lực giấy chứng nhận đăng ký đầu tư ra nước ngoài là bao lâu?,2
khi thực hiện thu nộp ngân sách nhà nước thì cơ quan thuế có phải cấp tài khoản giao dịch nộp thuế điện tử cho người nộp thuế không?,2
sáp nhập công ty là gì?,2
trách nhiệm của cơ quan thi hành án dân sự trong việc công khai thông tin của người phải thi hành án chưa có điều kiện thi hành án như thế nào?,2
việc cấp chứng chỉ hành nghề dược được thực hiện theo hình thức nào?,2
người nghiện ma túy đăng ký cai nghiện ma túy tự nguyện ở đâu?,2
hồ sơ đăng ký vào mạng lưới tư vấn viên hỗ trợ doanh nghiệp nhỏ và vừa trong lĩnh vực tư vấn về đầu tư các loại nguồn điện đối với cá nhân tư vấn gồm những gì?,2
cơ quan nào có quyền xếp loại chất lượng cán bộ cấp tỉnh?,2
thí sinh sát hạch thực hành lái tàu cấp giấy phép lái tàu trên đường sắt dùng riêng của doanh nghiệp có thể bị trừ điểm trong những trường hợp nào?,2
"có bắt buộc phải mang theo thẻ bảo hiểm y tế khi đi khám, chữa bệnh không?",2
"trở thành thành viên ban thanh tra nhân dân ở cơ quan nhà nước phải đáp ứng những điều kiện, tiêu chuẩn gì?",2
"diện tích tối thiểu nhà ở khi giải quyết đăng ký thường trú vào chỗ ở hợp pháp do thuê, mượn, ở nhờ tại thành phố hà nội được quy định như thế nào?",2
cơ sở dữ liệu giáo dục và đào tạo là gì?,2
hệ thống mạng đấu thầu quốc gia là gì?,2
thủ tục nghỉ hưu đối với viên chức được quy định như thế nào?,2
hành vi lấn chiếm đất được hiểu như thế nào?,2
số lượng thành viên hội đồng đại học tư thục bao gồm những ai và có bắt buộc phải là số lẻ không?,2
giấy phép mua pháo hoa để kinh doanh có thời hạn sử dụng bao lâu?,2
không có mặt đúng thời gian theo lệnh gọi khám sức khỏe nghĩa vụ quân sự thì bị xử phạt bao nhiêu?,2
hồ sơ đăng ký hộ kinh doanh online từ 01/07/2023 gồm những gì?,2
đăng ký lại khai sinh ở nơi khác so với nơi đăng ký khai sinh lần đầu có được không?,2
"ai có thẩm quyền ra lệnh bắt bị can, bị cáo để tạm giam?",2
có bao nhiêu loại hình tác phẩm được bảo hộ quyền tác giả?,2
quỹ chia sẻ tình thương có những nguồn thu nào?,2
dịch vụ thanh toán ủy nhiệm chi là gì?,2
văn bản công chứng có giá trị như thế nào?,2
trình tự thủ tục cấp đổi chứng minh quân nhân chuyên nghiệp được thực hiện ra sao?,2
"hàng hóa, dịch vụ thuộc danh mục hàng hóa, dịch vụ bình ổn giá phải đáp ứng đồng thời các tiêu chí nào?",2
cơ quan thường trực của ban chỉ đạo thực hiện quy chế dân chủ ở cơ sở bnnptnt là cơ quan nào?,2
"chế độ phụ cấp, bảo hiểm xã hội, bảo hiểm y tế đối với các chức vụ chỉ huy dân quân tự vệ được quy định ra sao?",2
nguyên tắc giải quyết tài sản khi ly hôn được pháp luật quy định như thế nào?,2
kinh doanh dịch vụ lữ hành là gì?,2
tổ chức hoa tiêu hàng hải hoạt động trong vùng hoa tiêu hàng hải bắt buộc có nghĩa vụ gì?,2
hồ sơ xin cấp lại chứng chỉ hành nghề môi giới bất động sản gồm những gì?,2
"mức vay vốn tối đa của học sinh, sinh viên có hoàn cảnh khó khăn để mua máy tính học trực tuyến là bao nhiêu tiền?",2
mức cho vay vốn ưu đãi cải tạo sửa chữa nhà để ở là bao nhiêu?,2
đối tượng nào chịu thuế giá trị gia tăng? đối tượng nào không chịu thuế giá trị gia tăng?,2
nguyên tắc hoạt động của hội mỹ nghệ kim hoàn đá quý việt nam là gì?,2
trình tự xử lý điểm đen tai nạn giao thông đường bộ bao gồm mấy bước?,2
thời hạn điều tra là bao nhiêu lâu và có được gia hạn thời hạn điều tra không?,2
người học ngành công nghệ kỹ thuật ô tô trình độ cao đẳng phải có mức độ tự chủ và trách nhiệm như thế nào?,2
thời hiệu xử lý kỷ luật lao động được quy định như thế nào?,2
mức thu lệ phí trước bạ ô tô theo nghị định 10/2022/nđ-cp là bao nhiêu?,2
di chúc có hiệu lực khi nào?,2
tổ chức được tham gia thi tuyển quyền sử dụng tần số vô tuyến điện nếu đáp ứng các điều kiện nào?,2
trường hợp nào được quyền xử lý dữ liệu cá nhân của trẻ em mà không cần sự đồng ý?,2
phạm vi được hưởng bảo hiểm y tế được quy định như thế nào?,2
viện trưởng viện kiểm sát nhân dân cấp cao do ai bổ nhiệm?,2
"với kỹ năng đo khoảng cách bằng mắt, thí sinh sát hạch thực hành lái tàu trên đường sắt đô thị có thể bị trừ điểm trong trường hợp nào?",2
mức đền bù chi phí đào tạo của viên chức khi không tiếp tục làm việc được quy định ra sao?,2
cơ quan nào thực hiện chức năng thanh tra?,2
mức độ thiệt hại do tai nạn giao thông đường sắt gây ra được phân loại như thế nào?,2
"công trình thu gom, thoát nước thải tại đô thị, khu dân cư tập trung được quản lý dựa trên nguyên tắc nào?",2
nơi nộp thuế thu nhập doanh nghiệp,2
"giá bán xăng dầu sau khi thực hiện quỹ bình ổn giá xăng, dầu như thế nào?",2
mang thai hộ vì mục đích nhân đạo được hiểu như thế nào?,2
doanh nghiệp có được chi trả mức lương thấp hơn lương tối thiểu?,2
quy tắc chung khi tham gia giao thông được quy định như thế nào?,2
tài sản chung trong thời kỳ hôn nhân được chia như thế nào?,2
danh hiệu thẩm phán mẫu mực được xét tặng cho những đối tượng nào?,2
kỳ hạn trả lương cho người lao động được quy định như thế nào?,2
thực hiện thanh tra thuế trong công tác quản lý thuế như thế nào?,2
các hành vi nào bị cấm trong hoạt động quảng cáo?,2
đi làm trong thời gian lịch nghỉ tết âm lịch người lao động được trả bao nhiêu tiền lương?,2
có bao nhiêu hình thức kỷ luật đối với đảng viên?,2
hồ sơ giải thể công ty hợp danh gồm những gì?,2
mức đóng bảo hiểm xã hội tự nguyện là bao nhiêu?,2
thực hiện các thao tác trong phòng xét nghiệm an toàn sinh học cấp 3 theo quy định nào?,2
mức hưởng bảo hiểm y tế được quy định như thế nào?,2
trang thông tin đấu giá trực tuyến phải đáp ứng những yêu cầu gì?,2
ai là người đứng đầu cục hàng hải việt nam thuộc bộ giao thông vận tải và chịu trách nhiệm như thế nào?,2
bệnh cúm gia cầm h5n1 nguy hiểm như thế nào?,2
dự án dự thi cuộc thi khoa học kỹ thuật cấp quốc gia cần đảm bảo những yêu cầu gì?,2
khi dừng phương tiện để kiểm soát giao thông cảnh sát giao thông có quyền kiểm soát các loại giấy tờ gì?,2
người nước ngoài tại việt nam được quá cảnh có các quyền gì?,2
ai là người có thẩm quyền thay đổi thư ký tòa án?,2
cộng tác viên thanh tra giáo dục trong thời gian tham gia đoàn thanh tra được hưởng chế độ gì theo quy định?,2
người dân có được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình không?,2
"trách nhiệm thực hiện điều chỉnh lương hưu theo nghị định 42/2023/nđ-cp của các cá nhân, tổ chức ra sao?",2
"nguyên tắc lập, quản lý, sử dụng hóa đơn điện tử?",2
người tố cáo có những quyền và nghĩa vụ gì?,2
cục công nghệ thông tin có trách nhiệm như thế nào trong việc quản lý hệ thống thư điện tử công vụ của bộ giáo dục và đào tạo?,2
công ty như thế nào được xem là công ty cổ phần?,2
người khuyết tật là ai?,2
đặt tên trạm định vị vệ tinh quốc gia phải thỏa mãn các yêu cầu gì?,2
"thời gian khám, kiểm tra sức khỏe toàn diện định kỳ đối với chủ tịch quốc hội là bao lâu?",2
công dân việt nam đăng ký tài khoản vneid như thế nào?,2
hồ sơ đề nghị hưởng trợ cấp thất nghiệp bao gồm những giấy tờ gì?,2
thức ăn chăn nuôi là gì?,2
"cấu trúc chương trình đào tạo của trường cao đẳng nghề theo từng ngành, nghề được thiết kế bao gồm những gì?",2
điều kiện chuyển nhượng quyền sử dụng đất là gì?,2
trường hợp nào không được chứng thực chữ ký?,2
người điều khiển xe máy khi tham gia giao thông không có bảo hiểm xe máy bắt buộc bị phạt bao nhiêu tiền?,2
tuổi nghỉ hưu năm 2023 là bao nhiêu?,2
các loại điều ước quốc tế nào phải được phê chuẩn?,2
mức xử phạt đối với việc chậm đóng bhxh cho người lao động là bao nhiêu tiền?,2
người có công với cách mạng là những ai?,2
"trình tự, thủ tục gia hạn thời hạn nộp thuế tiêu thụ đặc biệt đối với ô tô sản xuất trong nước thế nào?",2
người quản lý doanh nghiệp là ai?,2
mức thuế suất thuế nhập khẩu ưu đãi linh kiện ô tô nhập khẩu mới theo chương trình ưu đãi áp dụng từ khi nào?,2
"phối hợp tìm kiếm, cứu nạn trong vùng nước cảng biển phải đảm bảo các nguyên tắc nào?",2
hội đồng giáo sư nhà nước xét công nhận đạt tiêu chuẩn chức danh giáo sư có nhiệm kỳ bao nhiêu năm?,2
hồ sơ tuyển sinh lớp 10 tại thành phố hồ chí minh bao gồm những giấy tờ gì?,2
hồ sơ xét tặng huy hiệu đảng ra sao?,2
ai được tham gia lễ đưa tang thượng tướng quân đội nhân dân việt nam?,2
công chức không được mang những thiết bị nào vào trong hội nghị có nội dung bí mật nhà nước?,2
giấy chứng nhận đăng ký doanh nghiệp là gì?,2
một số quy định chung đối với việc sát hạch cấp chứng chỉ hành nghề kiến trúc là gì?,2
quyền thừa kế là gì? người thừa kế là ai?,2
trách nhiệm thực hiện nghị quyết 98 của ubnd tp hcm ra sao?,2
tiêu chuẩn tuyển quân tham gia nghĩa vụ quân sự ra sao?,2
doanh nghiệp bảo hiểm xe máy được yêu cầu hoàn trả tạm ứng bồi thường trong trường hợp nào?,2
thời hạn sử dụng thẻ thanh tra chuyên ngành bảo hiểm xã hội là bao nhiêu năm?,2
công dân gọi nhập ngũ khám sức khỏe trong thời gian nào?,2
giấy tờ phải xuất trình khi làm thủ tục sang tên xe gồm những gì?,2
thời gian và kế hoạch đào tạo thường xuyên được pháp luật quy định như thế nào?,2
việc kiểm toán nội bộ doanh nghiệp nhà nước thực hiện như thế nào?,2
dụng cụ điện cầm tay truyền động bằng động cơ phải đảm bảo các yêu cầu kỹ thuật nào?,2
mức phụ cấp thâm niên của giáo viên là bao nhiêu?,2
việc sử dụng thông tin về công dân trong cơ sở dữ liệu quốc gia về dân cư phải đảm bảo nguyên tắc gì?,2
điều kiện để được cấp giấy phép xây dựng nhà ở riêng lẻ tại đô thị được quy định như thế nào?,2
ai được coi là người lao động cao tuổi?,2
"hồ sơ đề nghị cấp giấy phép sửa chữa, cải tạo nhà cần những giấy tờ gì?",2
để thanh toán đối với hợp đồng trọn gói cần chuẩn bị những giấy tờ gì?,2
"các phương pháp y học cổ truyền để kết hợp với y học hiện đại trong quá trình khám bệnh, chữa bệnh bao gồm các phương pháp nào?",2
các trường hợp không được hưởng bảo hiểm y tế theo quy định pháp luật,2
trách nhiệm và quyền của kế toán trưởng được quy định như thế nào?,2
mục đích hoạt động của hội nghệ sĩ sân khấu việt nam là gì?,2
thành phần hội đồng xét xử sơ thẩm vụ án hình sự bao gồm những ai?,2
điều kiện để công chức ngành tư pháp tăng bậc lương trước thời hạn là gì?,2
khi nào áp dụng thông tư 32/2023/tt-bca?,2
"hội đồng quản lý trong đơn vị sự nghiệp công lập thuộc lĩnh vực văn hóa, gia đình, thể thao và du lịch có những nhiệm vụ và quyền hạn gì?",2
"vị trí việc làm công chức nghiệp vụ chuyên ngành tài chính được xác định dựa trên nguyên tắc, căn cứ nào?",2
thời gian tính hưởng phụ cấp thâm niên của giáo viên được xác định như thế nào?,2
những trường hợp nào được cấp giấy chứng nhận quyền sử dụng đất?,2
thủ tục đăng ký khai sinh,2
hồ sơ và thủ tục tách hộ khẩu được quy định như thế nào?,2
đối tượng nào được tiếp nhận vào làm công chức?,2
thời hạn thực hiện chỉ tiêu tuyển chọn công dân vào công an nhân dân là bao lâu?,2
"khi thực hiện công tác thẩm duyệt thiết kế, nghiệm thu về phòng cháy và chữa cháy sĩ quan công an nhân dân phải đảm bảo nguyên tắc phân công như thế nào?",2
tiền lương làm thêm giờ ngày lễ quốc khánh 2/9/2023 có phải chịu thuế thu nhập cá nhân hay không?,2
yêu cầu đối với mẫu thiết kế đồng tiền việt nam như thế nào?,2
cục du lịch quốc gia việt nam có con dấu hình quốc huy không?,2
muốn trở thành thẩm phán tòa án nhân dân tối cao cần đáp ứng những tiêu chuẩn như thế nào?,2
hạn mức giao đất nông nghiệp trồng cây lâu năm cho cá nhân được quy định như thế nào?,2
những trường hợp thừa kế theo pháp luật được quy định như thế nào?,2
tổ chức kiểm tra kiến thức pháp luật về bán hàng đa cấp theo quy trình nào?,2
quỹ đầu tư chứng khoán gồm các loại hình nào?,2
điều kiện giải quyết trợ cấp tuất hằng tháng khi người có công đã từ trần ra sao?,2
nội dung và khối lượng công việc của hợp đồng thi công được quy định thế nào?,2
"thuế chống bán phá giá, chống trợ cấp tạm thời được áp dụng vào thời gian nào?",2
ai có quyền thành lập hội đồng thi cấp chứng chỉ hành nghề dịch vụ làm thủ tục về thuế?,2
nhiệm vụ của trường chính sách công và phát triển nông thôn là gì?,2
bộ khoa học và công nghệ là cơ quan của chính phủ đúng không?,2
chủ nhiệm tổng cục chính trị quân đội nhân dân việt nam do ai có thẩm quyền quyết định bổ nhiệm?,2
hành vi nào là hành vi bị nghiêm cấm khi sử dụng trang phục thanh tra chuyên ngành bảo hiểm xã hội?,2
những người nào không được làm kế toán?,2
"bảo vệ địa điểm khảo cổ sau thăm dò, khai quật khảo cổ bao gồm những nội dung gì?",2
nhiệm vụ của hội tin học xây dựng việt nam là gì?,2
hồ sơ đăng ký công ty đại chúng gồm những giấy tờ gì?,2
trưởng ban kiểm soát ngân hàng phát triển việt nam có các nhiệm vụ và quyền hạn thế nào?,2
"hồ sơ cấp giấy chứng nhận cơ sở giáo dục đủ điều kiện kiểm tra và công nhận biết tiếng việt thành thạo trong khám bệnh, chữa bệnh gồm những giấy tờ gì?",2
"tham gia bàn giao, tiếp nhận tài sản trưng mua gồm những ai và việc bàn giao, tiếp nhận tài sản trưng mua phải được lập thành biên bản bao gồm nội dung gì?",2
nguyên tắc cơ bản trong tuyển sinh đại học là gì?,2
đăng ký tờ khai hải quan như thế nào?,2
mức hưởng bảo hiểm y tế được pháp luật quy định như thế nào?,2
nhiệm vụ của hiệp hội cao su việt nam là gì?,2
phụ cấp ưu đãi đối với nhà giáo có phải đóng thuế thu nhập cá nhân không?,2
đã có 3 lĩnh vực hoạt động vận tải được mở lại tại tất cả các vùng có dịch covid-19,2
hồ sơ đề nghị cấp mới thẻ abtc gồm những tài liệu gì?,2
công dân được đề xuất nội dung để nhân dân bàn và quyết định trong thực hiện dân chủ ở cấp xã hay không?,2
hình thức trả tiền lương cho người lao động được quy định như thế nào?,2
bản thảo văn bản hành chính là gì?,2
đơn vị kiểm soát nhập cảnh qua cổng kiểm soát tự động có trách nhiệm gì?,2
hồ sơ xuất ngũ trước thời hạn khi đang thực hiện nghĩa vụ quân sự gồm những giấy tờ nào?,2
thế nào là nhà ở hình thành trong tương lai?,2
danh sách xe hết niên hạn sử dụng do cơ quan nào thông báo?,2
cơ cấu tổ chức của quỹ trò nghèo vùng cao được quy định thế nào?,2
sinh viên được miễn thi kết thúc môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng khi thuộc trường hợp nào?,2
thủ tục đăng ký xe mới từ 15/8/2023 ra sao?,2
xác định giá thuê nhà ở sinh viên phải đảm bảo các nguyên tắc nào?,2
ai sẽ có thẩm quyền giải quyết khiếu nại về thi hành án dân sự?,2
công ty mẹ có trách nhiệm lập báo cáo tài chính hợp nhất của cả tập đoàn khi kết thúc kỳ kế toán như thế nào?,2
nguyên tắc hợp tác quốc tế trong phòng thủ dân sự được quy định như thế nào?,2
lệ phí thực hiện thủ tục đề nghị cấp giấy phép vận tải đường bộ quốc tế giữa việt nam và lào là bao nhiêu?,2
"mức trích kinh phí tổ chức thực hiện bồi thường, tái định cư đối với dự án cưỡng chế thu hồi đất theo quyết định của cơ quan nhà nước như thế nào?",2
mức giảm trừ gia cảnh dành cho người phụ thuộc hiện nay là bao nhiêu?,2
đối tượng nào được áp dụng hỗ trợ học tập đối với dân tộc thiểu số rất ít người?,2
quyền của chủ sở hữu nhà ở và người sử dụng nhà ở được quy định như thế nào?,2
những trường hợp chấm dứt hợp đồng lao động theo quy định hiện nay?,2
hiến tạng là gì?,2
các khoản thu nhập chịu thuế thu nhập cá nhân,2
"tư cách hợp lệ của nhà thầu, nhà đầu tư được quy định như thế nào?",2
cảnh sát giao thông khi dừng xe của người dân để kiểm tra phải bảo đảm các yêu cầu gì?,2
học viên tốt nghiệp đào tạo sĩ quan dự bị thì được phong quân hàm gì?,2
công ty chứng khoán bị thu hồi quyết định chấp thuận cung cấp dịch vụ giao dịch chứng khoán trực tuyến khi nào?,2
nguyên tắc thực hiện tinh giản biên chế là gì?,2
trường hợp công chức nghỉ chế độ thai sản thì kết quả xếp loại chất lượng trong năm được xác định như thế nào?,2
đặc xá là gì?,2
thủ tục hòa giải đối với trường hợp lối đi chung bị lấp được thực hiện như thế nào?,2
bí mật kinh doanh được bảo hộ cần những điều kiện gì?,2
nếp sống văn minh trong việc tổ chức lễ cưới tại gia đình hoặc tại địa điểm cưới phải thực hiện các quy định nào?,2
trường hợp nào không bắt buộc phải sử dụng dịch vụ hoa tiêu hàng hải?,2
quỹ hỗ trợ phát triển sinh kế vì cộng đồng được thành lập nhằm mục đích gì?,2
nguồn vốn cho vay và cơ chế cấp bù lãi suất như thế nào?,2
nguyên tắc hoạt động hợp tác quốc tế trong lĩnh vực quân y ra sao?,2
"miễn phí sử dụng vắc xin, sinh phẩm y tế bắt buộc trong các trường hợp nào?",2
mức tiền thanh toán trực tiếp được tổ chức bảo hiểm y tế chi trả là bao nhiêu?,2
hồ sơ giải thể doanh nghiệp tư nhân gồm những gì?,2
"chính sách của nhà nước về quyền tác giả, quyền liên quan theo quy định mới ra sao?",2
"để quản lý chất lượng khí, thương nhân nhập khẩu khí cần thực hiện những yêu cầu gì?",2
nguồn vốn để đầu tư gián tiếp ra nước ngoài được quy định thế nào?,2
những hàng hóa nào không được kinh doanh theo phương thức đa cấp?,2
chứng thực bản sao điện tử từ bản chính là gì?,2
có được khấu trừ tiền lương mà không thông báo cho người lao động không?,2
thời hạn của giấy phép lao động đối với người nước ngoài là trong bao lâu?,2
thời điểm người bào chữa tham gia tố tụng,2
